  10.0	1	0.997497
  10.0	2	-2.034434
  10.0	3	1.693631
  10.0	4	1.082538
  10.0	5	1.488506
  10.0	6	-2.015203
  10.0	7	0.936945
  10.0	8	0.067993
  10.0	9	-0.073275
  10.0	10	1.006690
  10.0	11	-0.230139
  10.0	12	1.526207
  10.0	13	-1.907827
  10.0	14	0.446285
  10.0	15	-0.734835
  10.0	16	2.811584
  10.0	17	-1.885375
  10.0	18	2.062192
  10.0	19	-1.878791
  10.0	20	-0.653017

  20.0	1	0.612828
  20.0	2	-1.875427
  20.0	3	0.934896
  20.0	4	-1.451913
  20.0	5	1.006981
  20.0	6	-1.940907
  20.0	7	0.519404
  20.0	8	-1.119888
  20.0	9	-0.403915
  20.0	10	-0.102663
  20.0	11	-0.081946
  20.0	12	0.977168
  20.0	13	-2.153392
  20.0	14	-1.331967
  20.0	15	-0.814036
  20.0	16	1.255526
  20.0	17	-1.957498
  20.0	18	1.537690
  20.0	19	-2.370028
  20.0	20	-0.799969

  30.0	1	0.975981
  30.0	2	-1.349484
  30.0	3	1.225986
  30.0	4	-1.178409
  30.0	5	0.973588
  30.0	6	-1.150167
  30.0	7	0.880120
  30.0	8	-1.112540
  30.0	9	0.542817
  30.0	10	-0.368684
  30.0	11	1.009523
  30.0	12	0.612163
  30.0	13	-1.279029
  30.0	14	-0.322574
  30.0	15	0.714166
  30.0	16	0.407954
  30.0	17	-0.319872
  30.0	18	0.795549
  30.0	19	-0.684005
  30.0	20	-0.640431

  40.0	1	1.238917
  40.0	2	-0.806151
  40.0	3	1.685127
  40.0	4	0.678405
  40.0	5	1.011428
  40.0	6	-0.123669
  40.0	7	1.579027
  40.0	8	-0.813933
  40.0	9	1.481214
  40.0	10	-0.102840
  40.0	11	2.249317
  40.0	12	0.434746
  40.0	13	0.007349
  40.0	14	1.226727
  40.0	15	1.840033
  40.0	16	0.573018
  40.0	17	1.004764
  40.0	18	0.803323
  40.0	19	0.837259
  40.0	20	0.050194

  50.0	1	0.527431
  50.0	2	-0.741770
  50.0	3	0.976046
  50.0	4	0.024803
  50.0	5	0.286116
  50.0	6	-0.243491
  50.0	7	0.805197
  50.0	8	-1.372573
  50.0	9	0.833663
  50.0	10	-0.303540
  50.0	11	1.286550
  50.0	12	-0.173075
  50.0	13	-0.132076
  50.0	14	-0.041402
  50.0	15	1.288126
  50.0	16	-0.716860
  50.0	17	0.644084
  50.0	18	0.149531
  50.0	19	0.994962
  50.0	20	-0.633701

  60.0	1	0.344340
  60.0	2	-0.546402
  60.0	3	0.703913
  60.0	4	0.182251
  60.0	5	0.194327
  60.0	6	-0.120555
  60.0	7	0.781511
  60.0	8	-1.174062
  60.0	9	0.835886
  60.0	10	-0.361791
  60.0	11	0.994715
  60.0	12	-0.081767
  60.0	13	0.141072
  60.0	14	0.416980
  60.0	15	1.230733
  60.0	16	-1.021308
  60.0	17	0.732629
  60.0	18	0.045502
  60.0	19	1.272034
  60.0	20	-0.670780

  70.0	1	-0.281824
  70.0	2	-0.367706
  70.0	3	-0.031664
  70.0	4	-0.473712
  70.0	5	-0.408640
  70.0	6	-0.200556
  70.0	7	0.227032
  70.0	8	-1.368402
  70.0	9	0.435785
  70.0	10	-0.812756
  70.0	11	0.359580
  70.0	12	-0.435015
  70.0	13	-0.203529
  70.0	14	0.456648
  70.0	15	0.307945
  70.0	16	-1.231616
  70.0	17	-0.236018
  70.0	18	-0.182755
  70.0	19	0.975203
  70.0	20	-1.219362

  80.0	1	-0.124348
  80.0	2	0.375062
  80.0	3	0.466574
  80.0	4	1.965761
  80.0	5	-0.090663
  80.0	6	0.683406
  80.0	7	1.227618
  80.0	8	0.035257
  80.0	9	1.469874
  80.0	10	-0.434191
  80.0	11	1.213732
  80.0	12	0.890452
  80.0	13	0.878137
  80.0	14	2.448197
  80.0	15	1.373413
  80.0	16	0.281869
  80.0	17	0.485617
  80.0	18	0.745678
  80.0	19	1.623327
  80.0	20	0.826828

  90.0	1	-1.308914
  90.0	2	0.287681
  90.0	3	-0.365562
  90.0	4	-0.278225
  90.0	5	-1.008209
  90.0	6	-0.082274
  90.0	7	-0.038200
  90.0	8	-0.516504
  90.0	9	0.775740
  90.0	10	-1.502041
  90.0	11	0.107674
  90.0	12	-0.226545
  90.0	13	0.299094
  90.0	14	-0.309700
  90.0	15	0.169154
  90.0	16	-0.789744
  90.0	17	-1.284646
  90.0	18	0.391645
  90.0	19	0.273425
  90.0	20	0.377156

 100.0	1	-1.642484
 100.0	2	0.585753
 100.0	3	-0.321815
 100.0	4	-0.612907
 100.0	5	-0.961546
 100.0	6	-0.168217
 100.0	7	0.069537
 100.0	8	0.314235
 100.0	9	0.600124
 100.0	10	-1.236859
 100.0	11	-0.085725
 100.0	12	-0.461036
 100.0	13	0.830695
 100.0	14	-0.664509
 100.0	15	0.445814
 100.0	16	-0.849739
 100.0	17	-0.956907
 100.0	18	0.338857
 100.0	19	0.211267
 100.0	20	0.663774

 110.0	1	-1.715578
 110.0	2	0.709082
 110.0	3	-0.544573
 110.0	4	-0.805679
 110.0	5	-1.063030
 110.0	6	-0.344171
 110.0	7	-0.054554
 110.0	8	0.814630
 110.0	9	0.193795
 110.0	10	-0.989622
 110.0	11	-0.442932
 110.0	12	-0.928440
 110.0	13	1.088248
 110.0	14	-0.914313
 110.0	15	0.090365
 110.0	16	-0.848407
 110.0	17	-0.678212
 110.0	18	-0.134510
 110.0	19	0.337032
 110.0	20	0.040471

 120.0	1	-1.361737
 120.0	2	0.763227
 120.0	3	-0.729612
 120.0	4	-0.610827
 120.0	5	-1.231054
 120.0	6	-0.175507
 120.0	7	-0.600784
 120.0	8	1.462542
 120.0	9	-0.119387
 120.0	10	-0.544526
 120.0	11	-0.969669
 120.0	12	-1.346098
 120.0	13	1.238176
 120.0	14	-0.517881
 120.0	15	-0.248763
 120.0	16	-0.740262
 120.0	17	0.081929
 120.0	18	-0.936123
 120.0	19	0.429253
 120.0	20	0.557886

 130.0	1	-0.902539
 130.0	2	0.567096
 130.0	3	-0.834083
 130.0	4	-1.240373
 130.0	5	-1.381880
 130.0	6	0.051730
 130.0	7	-1.366927
 130.0	8	1.475588
 130.0	9	-0.431688
 130.0	10	-0.310844
 130.0	11	-1.657393
 130.0	12	-1.377458
 130.0	13	0.765128
 130.0	14	-0.112468
 130.0	15	-0.928644
 130.0	16	-0.777312
 130.0	17	0.451836
 130.0	18	-1.609828
 130.0	19	0.072123
 130.0	20	1.167645

 140.0	1	-0.342748
 140.0	2	0.762516
 140.0	3	-0.873527
 140.0	4	-0.455586
 140.0	5	-0.933355
 140.0	6	0.323912
 140.0	7	-0.611148
 140.0	8	1.141031
 140.0	9	-0.152927
 140.0	10	0.183310
 140.0	11	-1.387990
 140.0	12	-1.019943
 140.0	13	0.662349
 140.0	14	1.275411
 140.0	15	-0.946536
 140.0	16	0.212030
 140.0	17	0.524960
 140.0	18	-1.014145
 140.0	19	-0.568991
 140.0	20	2.888590

 150.0	1	-0.029899
 150.0	2	0.708501
 150.0	3	-0.738790
 150.0	4	0.143025
 150.0	5	-0.708845
 150.0	6	1.041840
 150.0	7	-0.424054
 150.0	8	0.877951
 150.0	9	-0.672622
 150.0	10	0.871691
 150.0	11	-0.860277
 150.0	12	-1.232768
 150.0	13	0.793136
 150.0	14	0.137103
 150.0	15	-0.367639
 150.0	16	-0.013203
 150.0	17	1.232745
 150.0	18	-0.421693
 150.0	19	-0.665327
 150.0	20	0.492238

 160.0	1	1.564932
 160.0	2	0.584252
 160.0	3	-0.044178
 160.0	4	1.179470
 160.0	5	0.321680
 160.0	6	1.880311
 160.0	7	0.043455
 160.0	8	1.459129
 160.0	9	-1.207770
 160.0	10	1.808007
 160.0	11	-0.062880
 160.0	12	0.182668
 160.0	13	0.724069
 160.0	14	0.660132
